ZIP,STATECOUNTY
36003,1001
36008,1001
36068,1001
36507,1003
36511,1003
36526,1003
36527,1003
36530,1003
36532,1003
36533,1003
36535,1003
36536,1003
36542,1003
36547,1003
36549,1003
36550,1003
36551,1003
36555,1003
36559,1003
36561,1003
36564,1003
36567,1003
36574,1003
36576,1003
36577,1003
36578,1003
36579,1003
36580,1003
36017,1005
36048,1005
36072,1005
35074,1007
35013,1009
35049,1009
35097,1009
36031,1011
36015,1013
36201,1015
36202,1015
36204,1015
36205,1015
36206,1015
36250,1015
36253,1015
36254,1015
36257,1015
36265,1015
36271,1015
36277,1015
36279,1015
36855,1017
36862,1017
36863,1017
35960,1019
35973,1019
36275,1019
35045,1021
35085,1021
35171,1021
36790,1021
36908,1023
36910,1023
36913,1023
36915,1023
36916,1023
36919,1023
36921,1023
36436,1025
36446,1025
36451,1025
36524,1025
36540,1025
36545,1025
36727,1025
36251,1027
36267,1027
36261,1029
36262,1029
36269,1029
36273,1029
36346,1031
36351,1031
35646,1033
35660,1033
35661,1033
36454,1035
36473,1035
35183,1037
36038,1039
36455,1039
36476,1039
35055,1043
35056,1043
35057,1043
35070,1043
35077,1043
35083,1043
36361,1045
36362,1045
36371,1045
36767,1047
35963,1049
35968,1049
35974,1049
35981,1049
35986,1049
35988,1049
35989,1049
36020,1051
36024,1051
36025,1051
36092,1051
36093,1051
36441,1053
36503,1053
36543,1053
35902,1055
35904,1055
35907,1055
35990,1055
35542,1057
35545,1057
35559,1057
35585,1059
36313,1061
36314,1061
36340,1061
36344,1061
36349,1061
35443,1063
35448,1063
35462,1063
35491,1063
36740,1063
35441,1065
36744,1065
36776,1065
36310,1067
36373,1067
36302,1069
36312,1069
36320,1069
36321,1069
36343,1069
36370,1069
36376,1069
35740,1071
35744,1071
35745,1071
35746,1071
35751,1071
35752,1071
35764,1071
35766,1071
35768,1071
35772,1071
35774,1071
35958,1071
35005,1073
35015,1073
35020,1073
35021,1073
35023,1073
35036,1073
35048,1073
35060,1073
35061,1073
35064,1073
35068,1073
35071,1073
35073,1073
35091,1073
35116,1073
35117,1073
35118,1073
35119,1073
35123,1073
35127,1073
35139,1073
35142,1073
35181,1073
35201,1073
35202,1073
35203,1073
35204,1073
35205,1073
35206,1073
35207,1073
35208,1073
35209,1073
35210,1073
35211,1073
35212,1073
35213,1073
35214,1073
35215,1073
35217,1073
35218,1073
35219,1073
35220,1073
35221,1073
35222,1073
35223,1073
35224,1073
35226,1073
35228,1073
35229,1073
35231,1073
35232,1073
35233,1073
35234,1073
35235,1073
35236,1073
35249,1073
35253,1073
35254,1073
35255,1073
35259,1073
35260,1073
35261,1073
35266,1073
35270,1073
35285,1073
35293,1073
35294,1073
35295,1073
35544,1075
35586,1075
35592,1075
35617,1077
35630,1077
35631,1077
35632,1077
35633,1077
35634,1077
35645,1077
35648,1077
35677,1077
35618,1079
35643,1079
35650,1079
36803,1081
36831,1081
36865,1081
35611,1083
35612,1083
35613,1083
35615,1083
35620,1083
35647,1083
35649,1083
35671,1083
35742,1083
36040,1085
36752,1085
36039,1087
36075,1087
36083,1087
36087,1087
36088,1087
35741,1089
35750,1089
35758,1089
35759,1089
35761,1089
35762,1089
35763,1089
35767,1089
35801,1089
35802,1089
35803,1089
35804,1089
35805,1089
35806,1089
35807,1089
35808,1089
35809,1089
35810,1089
35811,1089
35812,1089
35813,1089
35814,1089
35815,1089
35816,1089
35824,1089
35893,1089
35894,1089
35895,1089
35896,1089
35897,1089
35898,1089
35899,1089
36732,1091
36736,1091
36745,1091
36748,1091
36754,1091
36763,1091
36764,1091
36782,1091
35543,1093
35548,1093
35747,1095
35950,1095
35964,1095
36505,1097
36509,1097
36512,1097
36521,1097
36523,1097
36525,1097
36528,1097
36541,1097
36544,1097
36560,1097
36568,1097
36571,1097
36572,1097
36575,1097
36582,1097
36587,1097
36590,1097
36601,1097
36602,1097
36603,1097
36604,1097
36605,1097
36606,1097
36607,1097
36608,1097
36609,1097
36610,1097
36611,1097
36612,1097
36613,1097
36615,1097
36616,1097
36617,1097
36618,1097
36619,1097
36633,1097
36640,1097
36644,1097
36652,1097
36660,1097
36663,1097
36670,1097
36671,1097
36675,1097
36685,1097
36688,1097
36689,1097
36691,1097
36693,1097
36695,1097
36425,1099
36439,1099
36444,1099
36445,1099
36458,1099
36470,1099
36481,1099
36057,1101
36064,1101
36065,1101
36069,1101
36101,1101
36102,1101
36103,1101
36104,1101
36105,1101
36106,1101
36107,1101
36108,1101
36109,1101
36110,1101
36111,1101
36112,1101
36113,1101
36114,1101
36115,1101
36116,1101
36117,1101
36118,1101
36119,1101
36120,1101
36121,1101
36123,1101
36124,1101
36125,1101
36130,1101
36131,1101
35601,1103
35602,1103
35640,1103
35775,1103
35447,1107
35461,1107
35471,1107
35481,1107
36082,1109
36263,1111
36278,1111
36280,1111
36851,1113
36856,1113
36858,1113
36868,1113
36869,1113
36871,1113
36875,1113
35004,1115
35052,1115
35054,1115
35112,1115
35120,1115
35125,1115
35131,1115
35135,1115
35182,1115
35953,1115
35987,1115
35007,1117
35043,1117
35051,1117
35078,1117
35114,1117
35124,1117
35137,1117
35143,1117
35147,1117
35176,1117
35185,1117
35186,1117
35187,1117
35238,1117
35459,1119
35460,1119
35470,1119
35477,1119
36901,1119
36907,1119
36925,1119
35014,1121
35032,1121
35044,1121
35149,1121
36853,1123
36861,1123
35401,1125
35402,1125
35403,1125
35404,1125
35405,1125
35406,1125
35407,1125
35440,1125
35446,1125
35449,1125
35452,1125
35453,1125
35457,1125
35458,1125
35468,1125
35473,1125
35475,1125
35476,1125
35478,1125
35482,1125
35486,1125
35490,1125
35038,1127
35501,1127
35502,1127
35504,1127
35550,1127
35560,1127
35573,1127
35580,1127
35584,1127
35587,1127
36513,1129
36518,1129
36529,1129
36538,1129
36539,1129
36548,1129
36553,1129
36556,1129
36569,1129
36581,1129
36583,1129
36584,1129
36585,1129
36435,1131
36720,1131
36723,1131
36726,1131
36741,1131
36753,1131
36766,1131
35551,1133
35553,1133
35572,1133
35575,1133
35577,1133
99553,2013
99571,2013
99583,2013
99612,2013
99661,2013
99546,2016
99547,2016
99591,2016
99638,2016
99660,2016
99685,2016
99692,2016
99501,2020
99502,2020
99503,2020
99504,2020
99505,2020
99506,2020
99507,2020
99508,2020
99509,2020
99510,2020
99511,2020
99513,2020
99514,2020
99515,2020
99516,2020
99517,2020
99518,2020
99519,2020
99520,2020
99521,2020
