ZCTA,cancer_25to34,cancer_35to44,cancer_45to54,cancer_55to64,cancer_65to74,cancer_75to84,cancer_85up
ZCTA32003,,7,9,36,50,74,48
ZCTA32004,,,,,,1,
ZCTA32007,,,,,,1,
ZCTA32008,1,,2,2,6,,3
ZCTA32008,,1,1,3,2,4,2
ZCTA32008,1,,6,9,9,17,2
ZCTA32009,,,,1,,1,
ZCTA32009,,1,2,8,16,10,4
ZCTA32011,2,2,12,41,61,55,19
ZCTA32024,1,4,18,53,85,61,40
ZCTA32024,,,3,9,10,5,3
ZCTA32025,1,4,15,61,78,77,45
ZCTA32033,1,,5,13,20,29,12
ZCTA32034,,8,32,86,147,122,86
ZCTA32038,1,3,16,37,56,33,15
ZCTA32040,1,1,7,22,25,16,4
ZCTA32041,,,,,1,,
ZCTA32042,,,,,2,,
ZCTA32043,1,8,22,54,86,82,35
ZCTA32043,,,1,,,3,
ZCTA32044,1,,3,7,7,3,4
ZCTA32046,,3,9,43,39,41,11
ZCTA32052,,2,10,22,31,24,9
ZCTA32053,,,1,10,13,14,7
ZCTA32054,4,15,66,102,111,52,16
ZCTA32055,3,4,13,63,80,50,22
ZCTA32056,,,,1,1,2,
ZCTA32058,,1,3,14,15,10,7
ZCTA32059,,1,3,6,11,11,4
ZCTA32060,1,5,26,55,91,72,36
ZCTA32061,,,,,1,,1
ZCTA32062,,,,10,16,9,6
ZCTA32063,3,1,10,33,48,37,18
ZCTA32064,1,3,5,12,29,26,25
ZCTA32065,1,7,16,58,105,56,20
ZCTA32066,,,7,13,18,24,11
ZCTA32068,4,16,46,122,186,141,48
ZCTA32071,,,3,16,32,15,12
ZCTA32073,3,10,32,83,124,122,73
ZCTA32073,,,,,1,,1
ZCTA32079,,,,,,5,10
ZCTA32080,1,4,11,37,93,97,66
ZCTA32081,,2,3,11,26,22,12
ZCTA32082,,,,,,1,1
ZCTA32082,2,1,13,49,95,112,81
ZCTA32083,,,,4,4,2,1
ZCTA32084,2,8,33,95,126,85,48
ZCTA32085,,1,,,1,,
ZCTA32086,1,3,21,73,149,127,103
ZCTA32087,1,1,5,9,10,12,3
ZCTA32091,,3,15,41,61,49,16
