ZCTA,covid_25to34,covid_35to44,covid_45to54,covid_55to64,covid_65to74,covid_75to84,covid_85up
ZCTA32003,,1,,4,12,19,9
ZCTA32007,,,,,1,,
ZCTA32008,,,,1,1,,
ZCTA32008,,,1,,2,,
ZCTA32008,,,,1,3,2,2
ZCTA32009,,,1,,1,1,
ZCTA32011,,,3,11,5,11,14
ZCTA32024,1,1,,4,8,15,7
ZCTA32024,,,1,1,,2,
ZCTA32025,2,2,1,13,15,9,17
ZCTA32033,,,1,,3,5,2
ZCTA32034,,1,2,11,17,17,15
ZCTA32038,,,1,1,5,10,4
ZCTA32040,,1,1,4,7,8,
ZCTA32041,,,1,,,,
ZCTA32043,,,7,8,13,14,12
ZCTA32044,,,1,,,2,2
ZCTA32046,,1,3,2,16,7,6
ZCTA32052,1,,,1,5,5,3
ZCTA32053,,,,1,2,2,2
ZCTA32054,,,10,13,32,14,4
ZCTA32055,,1,6,13,17,20,11
ZCTA32058,,,,,2,3,
ZCTA32059,,,,,1,4,
ZCTA32060,3,,3,12,18,24,20
ZCTA32062,,1,,,2,5,
ZCTA32063,,1,4,3,15,14,8
ZCTA32064,,,2,2,8,8,10
ZCTA32065,,1,7,11,14,14,12
ZCTA32066,,,1,3,7,2,4
ZCTA32068,2,3,10,17,23,35,20
ZCTA32071,,,1,,2,3,
ZCTA32073,3,3,3,12,22,39,14
ZCTA32073,,,,,,1,1
ZCTA32079,,,,,,1,1
ZCTA32080,,,1,4,3,7,16
ZCTA32081,,,1,1,4,2,5
ZCTA32082,,,,,,1,
ZCTA32082,1,,1,,8,10,15
ZCTA32083,,1,,5,3,3,
ZCTA32084,1,,2,3,16,9,17
ZCTA32086,,,1,6,14,19,15
ZCTA32087,1,,,4,7,5,
ZCTA32091,,1,6,8,10,7,13
ZCTA32091,,,,,,,1
ZCTA32092,,1,1,4,8,11,13
ZCTA32094,,,,2,3,3,1
ZCTA32095,,1,2,1,7,7,4
ZCTA32096,,1,1,1,1,3,1
ZCTA32097,1,1,2,6,9,10,5
ZCTA32102,,,,,5,,1
ZCTA32102,,,,,1,1,
ZCTA32110,,1,1,2,4,4,1
ZCTA32112,,,3,5,7,8,1
ZCTA32113,,,2,1,8,6,2
ZCTA32114,3,2,9,25,24,19,10
ZCTA32117,2,2,8,4,21,18,14
ZCTA32118,1,,5,4,15,11,13
ZCTA32119,1,4,3,4,17,18,10
ZCTA32124,,,1,4,3,4,1
ZCTA32127,2,1,3,9,15,13,18
ZCTA32128,1,,,5,11,9,4
ZCTA32129,1,1,4,6,11,12,12
ZCTA32130,,1,,,2,4,3
ZCTA32131,1,,,2,3,4,3
ZCTA32132,,,1,,1,5,
ZCTA32134,,1,2,3,9,6,2
ZCTA32136,,,,3,11,8,1
ZCTA32136,,,,,1,1,
ZCTA32137,,,6,9,20,29,17
ZCTA32139,,,,2,2,1,2
ZCTA32140,,,1,3,,,
ZCTA32141,,3,,,12,12,4
ZCTA32145,,,,2,3,1,3
ZCTA32147,,,,1,1,1,1
ZCTA32148,,1,,4,10,10,4
ZCTA32157,,,,,,1,
ZCTA32159,,1,3,6,15,25,27
ZCTA32159,,,,1,5,13,10
ZCTA32162,,,,1,41,72,18
ZCTA32163,,,,,11,7,13
ZCTA32164,1,1,3,6,17,23,6
ZCTA32168,1,2,4,9,7,11,19
ZCTA32169,,1,1,1,4,7,9
ZCTA32173,,,,,,1,
ZCTA32174,,,,,,1,
ZCTA32174,2,1,5,11,30,37,34
ZCTA32176,1,1,3,1,4,14,11
ZCTA32177,,4,10,11,21,22,21
ZCTA32179,2,,1,5,9,5,5
ZCTA32180,,,2,2,2,1,
ZCTA32181,,1,1,1,2,5,1
ZCTA32182,,,,,,,1
ZCTA32183,,,,,,1,
ZCTA32187,,,,,2,3,1
ZCTA32189,,,2,5,3,2,5
ZCTA32190,,,,,,2,
ZCTA32192,,,,,1,,1
ZCTA32193,,,,,,4,
ZCTA32195,,,1,,5,2,3
ZCTA32202,,,,3,5,2,3
ZCTA32203,,,,,1,,
ZCTA32204,1,1,2,4,6,10,8
ZCTA32205,1,2,6,12,12,16,11
ZCTA32206,2,4,7,14,11,9,8
ZCTA32207,3,3,2,6,19,10,18
ZCTA32208,2,10,12,19,44,36,27
ZCTA32209,5,7,17,24,35,30,23
ZCTA32210,4,1,15,26,27,30,35
ZCTA32211,1,3,12,11,21,12,14
