ZCTA,Diabetes_15to19,Diabetes_20to24,Diabetes25to34,Diabetes_35to44,Diabetes_45to54,Diabetes_55to64,Diabetes_65to74,Diabetes_75to84,Diabetes_85up
ZCTA34997,,,,1,2,7,17,7,11
ZCTA34996,,,,,1,,3,5,8
ZCTA34994,,,,1,1,10,4,8,5
ZCTA34990,,,,,,2,1,12,11
ZCTA34987,,,1,,1,1,1,5,2
ZCTA34986,,,,,1,5,8,15,6
ZCTA34984,,,,,3,1,7,6,2
ZCTA34983,,,,,6,13,14,19,9
ZCTA34982,,,1,,3,9,15,10,6
ZCTA34981,,,,,,,,3,1
ZCTA34974,,,,,,1,1,2,1
ZCTA34974,,,,,,,,2,
ZCTA34974,,,,,3,3,12,11,4
ZCTA34972,,,,1,3,4,4,10,5
ZCTA34957,,,,1,2,1,8,11,1
ZCTA34957,,,,,,1,1,1,2
ZCTA34956,,,,,,2,2,,1
ZCTA34953,,,,1,5,7,27,13,8
ZCTA34952,,,,1,3,20,25,29,34
ZCTA34951,,,,,4,9,5,9,3
ZCTA34950,,,,2,3,14,21,14,9
ZCTA34949,,,,,,,5,2,5
ZCTA34947,,,,5,4,5,5,3,1
ZCTA34946,,,,,1,7,5,4,2
ZCTA34945,,,,,1,,,2,5
ZCTA34788,,,,1,5,9,19,15,5
ZCTA34787,,,,,,,,,1
ZCTA34787,,1,1,1,5,15,14,15,12
ZCTA34786,,,,,,1,2,3,2
ZCTA34785,,,,,3,11,15,21,6
ZCTA34773,,,,,,1,1,,
ZCTA34772,,,,1,,5,9,7,3
ZCTA34771,,,,,2,3,2,9,2
ZCTA34769,,,,,3,16,7,9,10
ZCTA34761,,,,1,1,5,4,18,2
ZCTA34759,,,2,,3,4,3,5,
ZCTA34759,,,,,3,,8,8,1
ZCTA34758,1,,,,2,7,15,12,4
ZCTA34756,,,,,,1,2,1,
ZCTA34753,,,,1,,1,,1,1
ZCTA34748,,,,,7,25,40,60,34
ZCTA34747,,,,,1,5,4,1,4
ZCTA34746,,,,,4,8,15,15,6
ZCTA34744,,,1,1,4,7,14,9,1
ZCTA34743,,,,,6,4,6,9,7
ZCTA34741,,,,2,4,8,13,11,5
ZCTA34739,,,,,,,,2,1
ZCTA34737,,,,,,1,1,,
ZCTA34736,,,,1,1,6,7,10,3
ZCTA34734,,,,,,,,,2
ZCTA34731,,,,,2,4,9,3,7
ZCTA34715,,,,,3,1,3,7,6
ZCTA34714,,,,,3,1,8,4,1
ZCTA34711,,,,3,3,11,20,20,23
ZCTA34705,,,,1,,,2,1,
ZCTA34698,,1,,1,1,7,9,20,7
ZCTA34695,,,,,,4,3,11,8
ZCTA34691,,,2,1,3,10,13,9,10
ZCTA34690,,,1,,2,9,2,2,3
ZCTA34689,,,2,2,3,9,15,12,8
ZCTA34688,,,,,,,1,,
ZCTA34688,,,,,,,1,,
ZCTA34688,,,,,,,1,2,2
ZCTA34685,1,,1,1,,3,2,3,2
ZCTA34684,,,,,1,5,12,9,18
ZCTA34683,,,,1,1,6,8,5,5
ZCTA34681,,,,,,1,,,
ZCTA34677,,,,1,,1,9,4,
ZCTA34669,,,1,,2,8,4,6,3
ZCTA34668,,,2,2,17,25,41,22,33
ZCTA34667,,,2,2,9,20,33,40,23
ZCTA34655,,,,,4,6,12,27,21
ZCTA34654,,,,2,7,11,10,11,16
ZCTA34653,,,1,4,8,15,23,29,5
ZCTA34652,,,,1,6,19,19,21,11
ZCTA34639,,,,,1,4,10,7,4
ZCTA34638,,,,1,2,7,6,1,3
ZCTA34637,,,,,,,3,4,1
ZCTA34614,,,,,2,1,8,5,3
ZCTA34613,,,,1,3,12,21,22,15
ZCTA34610,,,,1,3,11,11,6,5
ZCTA34609,,,1,2,7,14,36,35,28
ZCTA34608,,,2,2,7,13,21,16,14
ZCTA34607,,,,1,1,4,1,9,5
ZCTA34606,,,,1,1,7,22,29,18
ZCTA34605,,,,,,,,1,
ZCTA34604,,,,2,1,4,8,5,5
ZCTA34602,,,,,1,4,3,6,2
ZCTA34601,,,,1,4,14,31,22,13
ZCTA34498,,,,,,,,,1
ZCTA34491,,,,3,5,17,24,30,15
ZCTA34488,,,,1,3,9,10,9,4
ZCTA34484,,,,,1,,2,4,8
ZCTA34482,,,1,,6,10,13,10,8
ZCTA34481,,,,,3,11,18,22,19
ZCTA34480,,,,2,4,7,8,12,1
ZCTA34479,,,,,1,5,3,7,3
ZCTA34478,,,,,,,,1,
ZCTA34476,,,,2,3,6,11,23,11
ZCTA34475,,,4,,2,8,10,13,3
ZCTA34474,,1,,,3,6,8,9,4
ZCTA34473,,,1,,6,8,10,15,4
ZCTA34472,,,1,2,11,2,17,19,8
ZCTA34471,,,1,2,,14,13,15,24
ZCTA34470,,,,1,4,12,14,11,10
ZCTA34465,,,,,3,4,16,13,11
ZCTA34461,,,,1,1,4,6,14,7
ZCTA34453,,,1,,1,5,7,4,3
ZCTA34452,,,,2,1,7,12,14,5
ZCTA34450,,,,1,1,7,7,16,9
ZCTA34449,,,,,,1,4,1,
ZCTA34448,,,,,3,3,7,12,3
ZCTA34447,,,,,,,1,,
ZCTA34446,,,,2,5,8,13,17,8
ZCTA34442,,,1,1,3,5,13,11,3
ZCTA34436,,,,,3,5,8,4,5
ZCTA34434,,,,,4,2,7,6,2
ZCTA34433,,,,,,5,4,4,4
ZCTA34433,,,,1,,,,,
ZCTA34432,,,1,,2,2,4,8,12
