ZCTA,heart_25to34,heart_35to44,heart_45to54,heart_55to64,heart_65to74,heart_75to84,heart_85up
ZCTA32003,2,5,7,15,27,64,106
ZCTA32004,,,,,,1,
ZCTA32007,,,,1,1,,1
ZCTA32008,,,1,4,1,5,5
ZCTA32008,,,,1,5,6,3
ZCTA32008,,,2,7,13,12,10
ZCTA32009,,,,,,1,
ZCTA32009,,1,3,3,4,6,6
ZCTA32011,,4,9,21,42,45,38
ZCTA32024,1,4,11,35,45,67,61
ZCTA32024,,,1,2,5,6,6
ZCTA32025,1,15,12,33,60,61,85
ZCTA32033,,,2,5,14,20,25
ZCTA32034,,5,11,45,100,125,168
ZCTA32038,,2,8,23,24,28,28
ZCTA32040,,1,3,18,15,22,19
ZCTA32041,,,,,2,,1
ZCTA32042,,,,,2,1,2
ZCTA32043,1,1,17,35,62,63,87
ZCTA32044,,1,1,3,6,6,6
ZCTA32046,2,3,10,22,25,30,16
ZCTA32052,1,,6,12,23,25,26
ZCTA32053,1,1,1,7,20,11,11
ZCTA32054,4,6,14,44,59,57,37
ZCTA32055,2,1,24,37,46,52,64
ZCTA32056,,,1,,,1,1
ZCTA32058,,1,4,6,5,16,13
ZCTA32059,,,4,7,9,8,11
ZCTA32060,,,18,44,81,80,113
ZCTA32061,,,,,,,1
ZCTA32062,,2,,4,9,11,8
ZCTA32063,2,1,12,32,43,29,40
ZCTA32064,1,2,7,16,32,46,102
ZCTA32065,1,11,19,24,56,45,57
ZCTA32066,,4,5,9,17,17,20
ZCTA32067,,,,,,,1
ZCTA32068,9,14,41,68,115,113,115
ZCTA32071,1,2,1,6,13,14,16
ZCTA32073,4,14,29,57,101,162,173
ZCTA32073,,,1,1,1,1,
ZCTA32079,,,,,3,3,35
ZCTA32080,,2,4,19,42,79,157
ZCTA32081,,2,1,5,15,18,17
ZCTA32082,,,,,2,,
ZCTA32082,1,2,6,14,32,63,165
ZCTA32083,,2,4,5,7,5,
ZCTA32084,3,5,23,72,89,87,144
ZCTA32086,,3,11,36,83,97,190
ZCTA32087,1,1,2,11,13,12,12
ZCTA32091,2,1,8,29,49,53,90
ZCTA32091,,,,2,,2,3
ZCTA32092,,5,10,24,43,49,88
ZCTA32094,,,2,8,12,15,4
ZCTA32095,,3,4,13,19,14,15
ZCTA32096,,1,1,3,2,2,4
ZCTA32096,1,1,3,5,12,15,7
ZCTA32096,,,,1,,,
ZCTA32097,1,6,15,38,55,42,42
ZCTA32102,,2,1,6,13,22,11
ZCTA32102,,,,1,1,2,
ZCTA32105,,,,,,,1
ZCTA32110,,6,10,19,27,38,37
ZCTA32111,,,,1,,,1
ZCTA32112,,,,,,,1
ZCTA32112,,1,8,9,19,29,24
ZCTA32113,3,2,5,21,27,36,30
ZCTA32114,8,10,46,116,152,117,193
ZCTA32115,,,,,,1,
ZCTA32117,8,7,30,79,109,123,210
ZCTA32118,4,4,17,47,73,71,136
ZCTA32119,,4,21,46,79,89,161
ZCTA32120,,,,,,1,
ZCTA32121,,,,1,,,
ZCTA32122,,,,1,,,
ZCTA32123,,,1,1,,,
ZCTA32124,1,1,3,8,8,19,15
ZCTA32125,,,,,1,,
ZCTA32127,3,2,20,59,101,146,266
ZCTA32128,2,1,5,11,54,91,115
ZCTA32129,3,6,15,39,84,91,155
ZCTA32130,1,1,,5,17,20,12
ZCTA32131,,1,1,11,14,23,22
ZCTA32132,,1,11,25,41,43,39
ZCTA32133,,,,1,2,2,1
ZCTA32134,,1,5,27,38,54,58
ZCTA32134,,,,1,,1,
ZCTA32135,,,,,,,1
ZCTA32136,,1,3,13,15,48,79
ZCTA32136,,,,1,1,,
ZCTA32137,2,5,23,43,135,209,339
ZCTA32138,,,,,1,,
ZCTA32139,,1,,2,5,7,8
ZCTA32140,1,,,,,,
ZCTA32140,,1,,4,10,9,8
ZCTA32141,2,3,5,31,66,97,127
ZCTA32145,2,,9,12,18,19,13
ZCTA32147,,,,3,3,7,
ZCTA32148,,1,7,27,33,38,41
ZCTA32157,,,1,3,1,3,2
ZCTA32158,,,,2,,1,
ZCTA32159,,6,11,27,93,182,284
ZCTA32159,,1,2,4,34,130,177
ZCTA32162,,,6,18,209,384,385
ZCTA32163,1,,2,12,70,57,54
ZCTA32164,3,6,26,51,122,154,272
ZCTA32168,1,5,15,60,96,103,209
ZCTA32169,,,4,10,24,57,117
ZCTA32173,,,,,,,1
ZCTA32174,,,1,,1,7,7
ZCTA32174,6,12,31,87,180,246,518
ZCTA32175,,,,1,,,1
ZCTA32176,,2,14,27,49,66,137
ZCTA32177,4,7,18,56,71,106,115
ZCTA32178,,,,,1,,
ZCTA32179,1,6,8,24,54,48,48
ZCTA32180,,,,,1,,
ZCTA32180,2,1,1,7,4,15,11
ZCTA32181,,5,2,7,7,18,8
ZCTA32182,,,1,,2,1,2
ZCTA32183,,,,,,1,1
ZCTA32187,,,1,3,3,7,14
ZCTA32189,2,,7,14,24,26,34
ZCTA32190,1,,,1,3,4,3
ZCTA32192,,,1,,1,2,3
ZCTA32193,,,2,1,4,7,10
ZCTA32195,,,,,1,3,1
ZCTA32195,1,,1,5,19,16,16
ZCTA32201,,,,,1,,
ZCTA32202,,1,9,28,22,22,30
ZCTA32204,1,,1,21,15,28,53
ZCTA32205,2,10,28,53,58,63,93
ZCTA32206,1,8,34,69,64,38,41
ZCTA32207,4,6,25,60,87,85,142
ZCTA32208,5,24,31,103,108,132,113
ZCTA32209,6,11,45,129,111,143,170
ZCTA32210,7,14,58,131,138,141,183
