Age_10Year,Population,Cost_Total,Cost_Beneficiary,Cost_Cumulative,Cost_Percent,IP_Ever_Percent,ED_Ever_Percent,Arthritis_Cases,Arthritis_Rate,Asthma_Cases,Asthma_Rate,Atrial_Fibrillation_Cases,Atrial_Fibrillation_Rate,Autism_Cases,Autism_Rate,ancer_Cases,ancer_Rate,OPD_Cases,OPD_Rate,Dementia_Cases,Dementia_Rate,Depression_Cases,Depression_Rate,Diabetes_Cases,Diabetes_Rate,Heart_Failure_Cases,Heart_Failure_Rate,Hepatitis_Cases,Hepatitis_Rate,HIV_AIDS_Cases,HIV_AIDS_Rate,Hyperlipidemia_Cases,Hyperlipidemia_Rate,Hypertension_Cases,Hypertension_Rate,Ischemic_Heart_Disease_Cases,Ischemic_Heart_Disease_Rate,Kidney_Disease_Cases,Kidney_Disease_Rate,Osteoporosis_Cases,Osteoporosis_Rate,Schizophrenia_Cases,Schizophrenia_Rate,Stroke_Cases,Stroke_Rate
0-4,0,0,,0.0,0.0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
5-9,0,0,,0.0,0.0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
10-14,0,0,,0.0,0.0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
15-19,1092,3292426,3015.04,1.34,1.34,5.68,34.07,0,0.0,0,0.0,1,0.9157509157509157,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.9157509157509157,2,1.8315018315018314,1,0.9157509157509157,0,0.0,1,0.9157509157509157,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20-24,3434,20053942,5839.82,9.48,8.15,13.74,35.53,1,0.29120559114735006,32,9.318578916715202,8,2.3296447291788005,24,6.988934187536401,24,6.988934187536401,20,5.824111822947001,5,1.4560279557367501,26,7.571345369831101,18,5.241700640652301,11,3.20326150262085,13,3.7856726849155504,5,1.4560279557367501,21,6.11531741409435,22,6.4065230052417,15,4.368083867210251,15,4.368083867210251,19,5.53290623179965,4,1.1648223645894002,12,3.4944670937682005
25-34,5624,66619683,11845.61,36.55,27.06,30.81,44.7,41,7.290184921763869,204,36.27311522048364,81,14.402560455192033,154,27.382645803698434,170,30.2275960170697,162,28.805120910384066,35,6.223328591749644,162,28.805120910384066,115,20.448079658605973,107,19.025604551920342,74,13.157894736842104,42,7.467994310099573,206,36.62873399715505,215,38.22901849217639,148,26.31578947368421,56,9.95732574679943,114,20.27027027027027,41,7.290184921763869,61,10.846372688477953
35-44,2738,60910699,22246.42,61.29,24.74,55.26,57.01,39,14.243973703433163,286,104.45580715850986,90,32.87070854638422,144,52.593133674214755,148,54.054054054054056,195,71.21986851716582,31,11.322132943754566,190,69.39371804236669,92,33.601168736303876,123,44.92330168005844,76,27.757487216946675,40,14.609203798392988,224,81.81154127100073,230,84.00292184075968,154,56.245434623813004,84,30.679327976625274,80,29.218407596785976,34,12.41782322863404,127,46.38422205989774
45-54,1218,41346150,33945.94,78.09,16.8,71.02,72.58,32,26.272577996715928,204,167.48768472906403,54,44.33497536945813,75,61.576354679802954,74,60.75533661740558,159,130.54187192118226,29,23.809523809523807,116,95.23809523809523,75,61.576354679802954,139,114.12151067323481,32,26.272577996715928,22,18.0623973727422,143,117.4055829228243,149,122.33169129720854,108,88.66995073891626,81,66.50246305418719,73,59.93431855500821,21,17.241379310344826,137,112.47947454844007
55-64,555,27827694,50139.99,89.4,11.3,83.42,82.34,37,66.66666666666667,105,189.1891891891892,58,104.50450450450451,20,36.03603603603604,42,75.67567567567568,89,160.36036036036035,23,41.44144144144144,59,106.3063063063063,54,97.2972972972973,102,183.7837837837838,22,39.63963963963964,18,32.432432432432435,83,149.54954954954954,102,183.7837837837838,101,181.981981981982,54,97.2972972972973,50,90.09009009009009,17,30.63063063063063,94,169.36936936936937
65-74,262,18301647,69853.61,96.83,7.44,91.6,88.17,32,122.13740458015266,53,202.29007633587787,39,148.85496183206106,12,45.80152671755725,27,103.05343511450383,38,145.03816793893128,26,99.23664122137404,35,133.58778625954199,38,145.03816793893128,102,389.3129770992366,23,87.78625954198472,9,34.35114503816794,55,209.92366412213738,65,248.0916030534351,72,274.80916030534354,44,167.93893129770993,19,72.51908396946564,10,38.16793893129771,61,232.82442748091603
75-84,77,7801756,101321.51,100.0,3.17,93.51,88.31,11,142.85714285714286,24,311.68831168831167,21,272.7272727272727,7,90.9090909090909,17,220.77922077922076,16,207.79220779220782,13,168.83116883116884,19,246.75324675324674,15,194.80519480519482,38,493.5064935064935,8,103.89610389610391,9,116.88311688311688,25,324.67532467532465,21,272.7272727272727,25,324.67532467532465,12,155.84415584415584,12,155.84415584415584,14,181.8181818181818,24,311.68831168831167
85up,0,0,,100.0,0.0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
