,Feature,Importance,Variance,Elimination,Total
23,ER_Copay,5,1,1,1
2,Gender,7,2,2,2
8,CC_Cancer,8,6,1,3
5,CC_Asthma,10,5,1,4
12,CC_Diabetes,9,7,1,5
13,CC_Heart_Failure,13,3,1,5
25,IP_Visits,1,23,1,6
1,Comorbidity,4,21,1,7
17,CC_Hypertension,21,4,1,7
15,CC_HIV_AIDS,17,8,1,7
16,CC_Hyperlipidemia,16,10,1,8
0,Age,2,24,1,8
3,ER_Count,3,25,1,9
18,CC_Ischemic_Heart_Disease,18,11,1,10
19,CC_Kidney_Disease,20,9,1,10
9,CC_COPD,14,17,1,11
24,PCP_Copay,6,26,1,12
14,CC_Hepatitis,19,13,1,12
20,CC_Osteoporosis,12,20,1,12
7,CC_Autism,11,22,1,13
11,CC_Depression,15,19,1,14
21,CC_Schizophrenia,23,12,1,15
22,CC_Stroke,22,15,1,16
4,CC_Arthritis,24,14,1,17
6,CC_Atrial_Fibrillation,26,16,1,18
10,CC_Dementia,25,18,1,19
