,Feature,Importance,Variance,Elimination,Total
25,IP_Visits,1,2,1,1
1,Comorbidity,2,3,1,2
23,ER_Copay,9,1,5,3
12,CC_Diabetes,5,9,1,3
22,CC_Stroke,10,5,4,4
9,CC_COPD,6,12,2,5
11,CC_Depression,8,8,6,6
16,CC_Hyperlipidemia,17,4,3,7
0,Age,3,24,1,8
3,ER_Count,4,25,1,9
8,CC_Cancer,16,6,10,10
17,CC_Hypertension,11,15,8,11
18,CC_Ischemic_Heart_Disease,14,14,9,12
5,CC_Asthma,15,11,15,13
7,CC_Autism,19,13,12,14
20,CC_Osteoporosis,7,19,18,14
13,CC_Heart_Failure,20,7,17,14
4,CC_Arthritis,12,21,13,15
24,PCP_Copay,13,26,7,15
6,CC_Atrial_Fibrillation,22,10,20,16
21,CC_Schizophrenia,25,17,14,17
10,CC_Dementia,26,20,11,18
19,CC_Kidney_Disease,21,16,21,19
15,CC_HIV_AIDS,24,18,16,19
2,Gender,18,23,22,20
14,CC_Hepatitis,23,22,19,21
