,Feature,Importance,Variance,Elimination,Total
0,Age,2,1,1,1
25,IP_Visits,1,2,1,1
3,ER_Count,3,3,1,2
1,Comorbidity,4,4,1,3
24,PCP_Copay,7,8,1,4
6,CC_Atrial_Fibrillation,6,15,2,5
9,CC_COPD,9,10,4,5
22,CC_Stroke,14,5,8,6
18,CC_Ischemic_Heart_Disease,8,11,9,7
11,CC_Depression,10,14,6,8
13,CC_Heart_Failure,13,6,13,9
23,ER_Copay,5,26,1,9
5,CC_Asthma,17,7,12,10
8,CC_Cancer,11,19,7,11
16,CC_Hyperlipidemia,15,12,11,12
4,CC_Arthritis,18,18,5,13
17,CC_Hypertension,19,9,18,14
19,CC_Kidney_Disease,16,13,20,15
21,CC_Schizophrenia,25,22,3,16
20,CC_Osteoporosis,20,17,15,17
14,CC_Hepatitis,22,21,10,18
10,CC_Dementia,21,20,14,19
2,Gender,12,23,21,20
12,CC_Diabetes,26,16,19,21
7,CC_Autism,23,25,16,22
15,CC_HIV_AIDS,24,24,17,23
