,Feature,Importance,Variance,Elimination,Total
25,IP_Visits,1,2,1,1
1,Comorbidity,2,3,1,2
23,ER_Copay,8,1,5,3
12,CC_Diabetes,5,9,1,4
22,CC_Stroke,10,5,4,5
9,CC_COPD,6,12,2,6
11,CC_Depression,7,8,6,7
16,CC_Hyperlipidemia,16,4,3,8
0,Age,3,24,1,9
3,ER_Count,4,25,1,10
8,CC_Cancer,17,6,10,11
17,CC_Hypertension,12,15,8,12
18,CC_Ischemic_Heart_Disease,15,14,9,13
5,CC_Asthma,14,11,15,14
7,CC_Autism,19,13,12,15
24,PCP_Copay,11,26,7,15
13,CC_Heart_Failure,21,7,17,16
20,CC_Osteoporosis,9,19,18,17
4,CC_Arthritis,13,21,13,18
6,CC_Atrial_Fibrillation,22,10,20,19
10,CC_Dementia,25,20,11,20
19,CC_Kidney_Disease,20,16,21,21
21,CC_Schizophrenia,26,17,14,21
15,CC_HIV_AIDS,23,18,16,21
2,Gender,18,23,22,22
14,CC_Hepatitis,24,22,19,23
