,Feature,Importance,Variance,Elimination,Total
23,ER_Copay,4,1,1,1
2,Gender,5,2,2,2
0,Age,1,23,1,3
25,IP_Visits,3,24,1,4
3,ER_Count,2,25,1,4
1,Comorbidity,16,3,11,5
4,CC_Arthritis,16,13,3,6
24,PCP_Copay,6,26,1,7
5,CC_Asthma,16,13,4,7
22,CC_Stroke,16,13,5,8
21,CC_Schizophrenia,16,13,6,9
20,CC_Osteoporosis,16,13,7,10
19,CC_Kidney_Disease,16,13,8,11
18,CC_Ischemic_Heart_Disease,16,13,9,12
7,CC_Autism,16,13,10,13
6,CC_Atrial_Fibrillation,16,13,12,14
17,CC_Hypertension,16,13,13,15
8,CC_Cancer,16,13,14,16
16,CC_Hyperlipidemia,16,13,15,17
9,CC_COPD,16,13,16,18
15,CC_HIV_AIDS,16,13,17,19
10,CC_Dementia,16,13,18,20
14,CC_Hepatitis,16,13,19,21
11,CC_Depression,16,13,20,22
13,CC_Heart_Failure,16,13,21,23
12,CC_Diabetes,16,13,22,24
