,Feature,Importance,Variance,Elimination,Total
0,Age,3,2,1,1
23,ER_Copay,4,1,1,1
1,Comorbidity,5,4,1,2
2,Gender,8,3,2,3
16,CC_Hyperlipidemia,11,6,1,4
13,CC_Heart_Failure,12,5,1,4
17,CC_Hypertension,9,9,1,5
8,CC_Cancer,6,14,1,6
20,CC_Osteoporosis,15,7,1,7
5,CC_Asthma,16,8,1,8
21,CC_Schizophrenia,10,15,1,9
25,IP_Visits,1,24,1,9
3,ER_Count,2,25,1,10
18,CC_Ischemic_Heart_Disease,19,10,1,11
9,CC_COPD,14,16,1,12
11,CC_Depression,13,18,1,13
24,PCP_Copay,7,26,1,14
15,CC_HIV_AIDS,20,13,1,14
22,CC_Stroke,23,11,1,15
4,CC_Arthritis,25,12,1,16
7,CC_Autism,17,23,1,17
12,CC_Diabetes,18,22,1,17
14,CC_Hepatitis,21,20,1,18
19,CC_Kidney_Disease,22,19,1,18
10,CC_Dementia,26,17,1,19
6,CC_Atrial_Fibrillation,24,21,1,20
