,Feature,Importance,Variance,Elimination,Total
0,Age,2,1,1,1
25,IP_Visits,1,2,1,1
1,CC_Count,3,3,1,2
3,ER_Count,4,4,1,3
24,PCP_Copay,6,11,1,4
9,CC_COPD,8,12,5,5
22,CC_Stroke,10,9,7,6
11,CC_Depression,7,13,6,6
13,CC_Heart_Failure,14,5,10,7
6,CC_Atrial_Fibrillation,12,15,3,8
23,ER_Copay,5,26,1,9
18,CC_Ischemic_Heart_Disease,13,8,11,9
8,CC_Cancer,9,17,9,10
4,CC_Arthritis,16,19,4,11
16,CC_Hyperlipidemia,17,10,12,11
5,CC_Asthma,18,6,18,12
19,CC_Kidney_Disease,15,14,15,13
17,CC_Hypertension,21,7,16,13
12,CC_Diabetes,24,16,8,14
10,CC_Dementia,25,21,2,14
7,CC_Autism,19,20,17,15
20,CC_Osteoporosis,20,18,19,16
2,Gender,11,25,21,16
14,CC_Hepatitis,23,22,13,17
15,CC_HIV_AIDS,22,24,14,18
21,CC_Schizophrenia,26,23,20,19
